Persona,Emocion,Tiempo
Persona1,fear,0.14000868797302246
Persona1,fear,0.11803007125854492
Persona1,fear,0.20801949501037598
Persona1,fear,0.12300872802734375
Persona1,fear,0.10902905464172363
Persona2,contempt,0.11302590370178223
Persona1,fear,0.11202526092529297
Persona1,fear,0.11800360679626465
Persona1,fear,0.11200690269470215
Persona1,fear,0.1080009937286377
Persona1,fear,0.1090240478515625
Persona1,fear,0.11103320121765137
Persona1,fear,0.11100959777832031
Persona1,fear,0.1090250015258789
Persona1,fear,0.1080312728881836
Persona1,fear,0.11202478408813477
Persona1,fear,0.11202526092529297
Persona2,contempt,0.12002277374267578
Persona1,fear,0.11001014709472656
Persona1,fear,0.11002349853515625
Persona1,fear,0.11000800132751465
Persona1,fear,0.11302423477172852
Persona1,fear,0.11302733421325684
Persona1,fear,0.11000895500183105
Persona1,fear,0.11302995681762695
Persona1,fear,0.10903167724609375
Persona1,fear,0.1090238094329834
Persona1,fear,0.10901165008544922
Persona1,fear,0.10902786254882812
Persona1,fear,0.10902738571166992
Persona1,fear,0.11101627349853516
Persona1,fear,0.11101627349853516
Persona1,fear,0.11101889610290527
Persona1,fear,0.11302709579467773
Persona1,fear,0.11002755165100098
Persona1,fear,0.11002874374389648
Persona1,fear,0.11701798439025879
Persona1,fear,0.11301779747009277
Persona1,fear,0.11302495002746582
Persona1,fear,0.10601997375488281
Persona1,fear,0.1110222339630127
Persona1,fear,0.11202120780944824
Persona1,fear,0.12002992630004883
Persona1,fear,0.11400175094604492
Persona1,fear,0.11502361297607422
Persona1,fear,0.11202549934387207
Persona1,fear,0.11002874374389648
Persona1,fear,0.11302661895751953
Persona1,fear,0.12002873420715332
Persona1,fear,0.12001872062683105
Persona1,fear,0.11501479148864746
Persona1,fear,0.11402153968811035
Persona1,fear,0.1260058879852295
Persona1,fear,0.1240231990814209
Persona1,fear,0.11502432823181152
Persona2,contempt,0.11702561378479004
Persona3,disgust,0.11402440071105957
Persona3,disgust,0.11400079727172852
Persona1,fear,0.11302685737609863
Persona1,fear,0.11500358581542969
Persona1,fear,0.11002326011657715
Persona1,fear,0.11401939392089844
Persona2,contempt,0.12001633644104004
Persona2,contempt,0.11602950096130371
Persona2,contempt,0.11802029609680176
Persona2,contempt,0.12003016471862793
Persona2,contempt,0.11301445960998535
Persona2,contempt,0.11402344703674316
Persona1,fear,0.11600756645202637
Persona1,fear,0.15801644325256348
Persona1,fear,0.17602229118347168
Persona2,contempt,0.12002396583557129
Persona2,contempt,0.11301970481872559
Persona1,fear,0.1540241241455078
Persona2,contempt,0.21100068092346191
Persona2,contempt,0.22200393676757812
Persona1,fear,0.23200464248657227
Persona4,sadness,0.24200892448425293
Persona5,anger,0.24899530410766602
Persona5,anger,0.25799560546875
Persona2,contempt,0.17200303077697754
Persona2,contempt,0.18200087547302246
Persona4,sadness,0.1900193691253662
Persona2,contempt,0.19801092147827148
Persona5,anger,0.2080094814300537
Persona5,anger,0.21700501441955566
Persona2,contempt,0.1680295467376709
Persona2,contempt,0.17700982093811035
Persona4,sadness,0.18700027465820312
Persona2,contempt,0.1950223445892334
Persona5,anger,0.2030177116394043
Persona5,anger,0.21002602577209473
Persona2,contempt,0.16802334785461426
Persona2,contempt,0.17502665519714355
Persona4,sadness,0.18301033973693848
Persona2,contempt,0.19102025032043457
Persona5,anger,0.19802522659301758
Persona5,anger,0.2060234546661377
Persona2,contempt,0.15601325035095215
Persona2,contempt,0.16402673721313477
Persona2,contempt,0.17103338241577148
Persona4,sadness,0.17902684211730957
Persona5,anger,0.18602919578552246
Persona5,anger,0.19402265548706055
Persona2,contempt,0.15702319145202637
Persona2,contempt,0.16501665115356445
Persona2,contempt,0.174025297164917
Persona4,sadness,0.18202543258666992
Persona5,anger,0.1890246868133545
Persona5,anger,0.19702386856079102
Persona2,contempt,0.16201019287109375
Persona2,contempt,0.1700286865234375
Persona4,sadness,0.1770308017730713
Persona2,contempt,0.18403244018554688
Persona5,anger,0.1920301914215088
Persona5,anger,0.19907903671264648
Persona2,contempt,0.16202521324157715
Persona2,contempt,0.17002224922180176
Persona4,sadness,0.17802119255065918
Persona2,contempt,0.18602228164672852
Persona5,anger,0.1930243968963623
Persona5,anger,0.2010176181793213
Persona2,contempt,0.16103005409240723
Persona2,contempt,0.16802501678466797
Persona2,contempt,0.17603349685668945
Persona4,sadness,0.18303203582763672
Persona5,anger,0.19002604484558105
Persona5,anger,0.1980299949645996
Persona2,contempt,0.16202473640441895
